#wvl [um]      Flux [erg/s/cm]
21.31546894    3758.88264        
21.27013066    3937.76254        
21.22498484    4012.80997        
21.18003026    4096.90897        
21.1352657     4087.46991        
21.09068997    4077.95598        
21.04630186    4208.02474        
21.00210021    3733.74476        
20.95808383    4353.26903        
20.91425157    4286.34721        
20.87060227    4418.43982        
20.82713478    4377.60567        
20.78384798    3999.53011        
20.74074074    4387.79018        
20.69781195    4428.78225        
20.65506049    4402.84526        
20.61248528    4813.97561        
20.57008522    3886.82638        
20.52785924    4488.61382        
20.48580626    4237.70017        
20.44392523    4252.82138        
20.4022151     4540.14835        
20.36067481    4046.42156        
20.31930334    4214.93969        
20.27809965    4645.63539        
20.23706273    4152.99108        
20.19619158    4388.63246        
20.15548517    4435.75664        
20.11494253    4577.01779        
20.07456266    4688.41586        
20.03434459    4609.41495        
19.99428735    4765.03247        
19.95438997    4106.77926        
19.91465149    4375.47947        
19.87507098    4492.97572        
19.83564749    4389.37384        
19.79638009    4760.50107        
19.75726785    4860.61073        
19.71830986    4737.87814        
19.6795052     4426.8809         
19.64085297    4793.31921        
19.60235228    4246.14975        
19.56400224    4970.09237        
19.52580195    5195.52764        
19.48775056    4651.20076        
19.44984718    4311.77316        
19.41209096    4357.07632        
19.37448104    5200.90892        
19.33701657    4655.08752        
19.29969672    4670.16332        
19.26252064    4604.30025        
19.2254875     4828.11082        
19.18859649    5008.70249        
19.15184679    5238.102          
19.11523758    4844.30513        
19.07876806    5223.35325        
19.04243743    5168.31553        
19.00624491    4474.32599        
18.9701897     5086.44954        
18.93427103    4899.58764        
18.89848812    5125.37585        
18.8628402     5719.42711        
18.82732652    5257.17863        
18.79194631    5163.28498        
18.75669882    4935.50387        
18.72158331    4661.52038        
18.68659904    5368.10533        
18.65174527    5097.72805        
18.61702128    4808.95038        
18.58242633    4935.76856        
18.54795972    4710.82304        
18.51362074    5094.56331        
18.47940866    5173.07243        
18.44532279    5274.17897        
18.41136244    5194.47601        
18.37752691    5001.74545        
18.34381551    5611.84771        
18.31022757    5360.18541        
18.2767624     5417.20067        
18.24341934    5250.59361        
18.21019771    5467.69548        
18.17709686    4889.90277        
18.14411612    4924.10278        
18.11125485    5702.3917         
18.0785124     5310.46307        
18.04588812    5193.85214        
18.01338137    5787.44298        
17.98099152    5695.58969        
17.94871795    5040.89967        
17.91656002    5370.90452        
17.88451712    5700.7437         
17.85258863    5616.45432        
17.82077393    5246.2824         
17.78907243    5470.51673        
17.75748351    5939.15809        
17.72600658    5143.14802        
17.69464105    5432.07735        
17.66338632    5825.83334        
17.63224181    5609.27527        
17.60120694    5611.95631        
17.57028112    5710.29249        
17.53946379    5758.2787         
17.50875438    5444.13613        
17.47815231    6001.40266        
17.44765703    5659.58094        
17.41726798    5336.01469        
17.3869846     5329.85573        
17.35680635    5604.39704        
17.32673267    5567.20572        
17.29676303    5735.69008        
17.26689689    6023.57382        
17.23713371    5461.6297         
17.20747296    5698.11656        
17.17791411    6355.96184        
17.14845664    5805.60779        
17.11910002    5520.81411        
17.08984375    5606.36633        
17.0606873     6090.66578        
17.03163017    6834.96631        
17.00267185    5962.01976        
16.97381183    5588.68464        
16.94504962    5877.25131        
16.91638473    6224.06098        
16.88781665    5871.80926        
16.85934489    6188.92549        
16.83096898    6028.24635        
16.80268843    6390.45131        
16.77450276    6262.97945        
16.74641148    6433.04074        
16.71841414    5773.05906        
16.69051025    6540.48148        
16.66269936    5686.86674        
16.63498099    6045.62088        
16.60735469    5910.20013        
16.57981999    6120.45057        
16.55237645    6208.77669        
16.52502361    6690.46946        
16.49776102    6104.37695        
16.47058824    6017.67467        
